caseid,method,noise_bin,gaussian_sigma,rician_sigma,mae,rmse,psnr,ssim
1000542,Noisy,mid,15.486245593561986,16.465724745489926,0.00617465,0.00779504,42.16362931,0.99359185
1000542,Gaussian,mid,15.486245593561986,16.465724745489926,0.00850805,0.01179799,38.56383609,0.99323440
1000542,NLM,mid,15.486245593561986,16.465724745489926,0.00617354,0.00779384,42.16497513,0.99359667
1000542,ResidualUNet,mid,15.486245593561986,16.465724745489926,0.00524997,0.00666452,43.52461734,0.99584997
1002722,Noisy,low,16.3537662805351,8.04327801290435,0.00510735,0.00644857,43.81073695,0.99688470
1002722,Gaussian,low,16.3537662805351,8.04327801290435,0.00909209,0.01287237,37.80683300,0.99543881
1002722,NLM,low,16.3537662805351,8.04327801290435,0.00509444,0.00643361,43.83090663,0.99691051
1002722,ResidualUNet,low,16.3537662805351,8.04327801290435,0.00462089,0.00585292,44.65255213,0.99766934
1002807,Noisy,mid,18.06074366249568,20.058688443584515,0.00840572,0.01060975,39.48589853,0.98955661
1002807,Gaussian,mid,18.06074366249568,20.058688443584515,0.00989344,0.01340253,37.45626499,0.99054545
1002807,NLM,mid,18.06074366249568,20.058688443584515,0.00824727,0.01042952,39.63471465,0.99024034
1002807,ResidualUNet,mid,18.06074366249568,20.058688443584515,0.00683664,0.00870047,41.20914923,0.99371874
1003444,Noisy,mid,17.011026309714488,18.355605000953293,0.00694233,0.00876300,41.14694725,0.99341589
1003444,Gaussian,mid,17.011026309714488,18.355605000953293,0.00934539,0.01277045,37.87587449,0.99304998
1003444,NLM,mid,17.011026309714488,18.355605000953293,0.00688035,0.00869166,41.21794138,0.99367642
1003444,ResidualUNet,mid,17.011026309714488,18.355605000953293,0.00589190,0.00748641,42.51452958,0.99579728
1003618,Noisy,low,12.115722087314312,8.058501671556277,0.00430994,0.00544153,45.28558088,0.99747455
1003618,Gaussian,low,12.115722087314312,8.058501671556277,0.00795238,0.01119131,39.02237880,0.99554467
1003618,NLM,low,12.115722087314312,8.058501671556277,0.00455388,0.00582006,44.70145141,0.99616271
1003618,ResidualUNet,low,12.115722087314312,8.058501671556277,0.00396305,0.00501322,45.99766886,0.99800122
1005201,Noisy,mid,12.580952922963345,14.674371099529676,0.00522554,0.00659562,43.61488623,0.99619347
1005201,Gaussian,mid,12.580952922963345,14.674371099529676,0.00888757,0.01273551,37.89967585,0.99487817
1005201,NLM,mid,12.580952922963345,14.674371099529676,0.00519819,0.00656565,43.65444281,0.99624568
1005201,ResidualUNet,mid,12.580952922963345,14.674371099529676,0.00462933,0.00586961,44.62781785,0.99732327
1005430,Noisy,mid,14.744472380557458,15.861495508828163,0.00668730,0.00844114,41.47197500,0.99346411
1005430,Gaussian,mid,14.744472380557458,15.861495508828163,0.00892865,0.01228218,38.21449284,0.99338835
1005430,NLM,mid,14.744472380557458,15.861495508828163,0.00660937,0.00834998,41.56629425,0.99379396
1005430,ResidualUNet,mid,14.744472380557458,15.861495508828163,0.00567521,0.00720105,42.85207864,0.99575627
1010191,Noisy,low,21.51131230657201,8.32466395230826,0.00624925,0.00788798,42.06068809,0.99411684
1010191,Gaussian,low,21.51131230657201,8.32466395230826,0.00891801,0.01239755,38.13328335,0.99345440
1010191,NLM,low,21.51131230657201,8.32466395230826,0.00619523,0.00782674,42.12838652,0.99423015
1010191,ResidualUNet,low,21.51131230657201,8.32466395230826,0.00538412,0.00683161,43.30953293,0.99606955
1011021,Noisy,high,21.494823164435836,21.829947177809306,0.00885381,0.01117425,39.03563098,0.98998982
1011021,Gaussian,high,21.494823164435836,21.829947177809306,0.01013462,0.01354307,37.36565695,0.99114043
1011021,NLM,high,21.494823164435836,21.829947177809306,0.00869844,0.01099923,39.17275753,0.99070412
1011021,ResidualUNet,high,21.494823164435836,21.829947177809306,0.00712428,0.00907553,40.84256162,0.99435961
1011088,Noisy,mid,18.925553053095765,14.5917486204731,0.00672291,0.00848677,41.42515532,0.99436194
1011088,Gaussian,mid,18.925553053095765,14.5917486204731,0.00883220,0.01191873,38.47540284,0.99398702
